Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
D. Keith Langford Jr. ,California 6,Republican,no,House of representatives,DKLJcongress,
Jimmy Fremgen,California 7,Democratic,no,House of representatives,Jimmy_Fremgen,
Doris Matsui ,California 7,Democratic,yes,House of representatives,DorisMatsui ; Matsui4Congress,
Max Semenenko,California 7,Republican,no,House of representatives,MaxSemenenko1,
John Garamendi,California 8,Democratic,yes,House of representatives,RepGaramendi ; JohnGaramendi,
Christopher Riley,California 8,Democratic,no,House of representatives,NA,
Edwin Rutsch,California 8,Democratic,no,House of representatives,EdwinRutsch,
Cheryl Sudduth,California 8,Democratic,no,House of representatives,CherylCongress,
Rudy Recile,California 8,Republican,no,House of representatives,Rudy4USCongress,
Karena Feng,California 9,Democratic,no,House of representatives,applefeng,
Harpreet Chima,California 9,Democratic,no,House of representatives,HarpreetChima,
Josh Harder,California 9,Democratic,yes,House of representatives,JoshHarder ; RepJoshHarder,
Tom Patti ,California 9,Republican,no,House of representatives,SupeTomPatti,
Mark DeSaulnier ,California 10,Democratic,yes,House of representatives,RepDeSaulnier ; MarkDeSaulnier,
Oleksii Chuiko,California 10,Republican,no,House of representatives,oleksiichuiko,
Eric Curry ,California 11,Democratic,no,House of representatives,ericcurrysf,
Nancy Pelosi,California 11,Democratic,yes,House of representatives,SpeakerPelosi ; TeamPelosi,
Jeffrey Phillips,California 11,Democratic,no,House of representatives,11thJeff,
Bianca von Krieg,California 11,Democratic,no,House of representatives,TheRealBaroness,
John Dennis,California 11,Republican,no,House of representatives,RealJohnDennis,
Greg Lentz,California 11,Republican,,House of representatives,GregLentzCA12,
Barbara Lee ,California 12,Democratic,yes,House of representatives,BLeeForCongress ; RepBarbaraLee,
Eve Del Castello,California 12,Republican,no,House of representatives,NA,
Phil Arballo,California 13,Democratic,no,House of representatives,PhilArballo,
Adam Gray,California 13,Democratic,no,House of representatives,AdamGrayCA,
Angelina Sigala,California 13,Democratic,no,House of representatives,CandidateSigala,
Simon Aslanpour,California 13,Republican,no,House of representatives,SimonAslanpour,
Jolene Daly,California 13,Republican,no,House of representatives,NA,
David Giglio,California 13,Republican,no,House of representatives,DavidGiglioCA,
Jake Griffith,California 13,Republican,no,House of representatives,NA,
Sean Harrison,California 13,Republican,no,House of representatives,NA,
Elizabeth Heng,California 13,Republican,no,House of representatives,ElizabethHeng,
Eugene Rubio Kilbride,California 13,Republican,no,House of representatives,NA,
Diego Martinez,California 13,Republican,no,House of representatives,diegoforcali22,
Matt Stoll,California 13,Republican,no,House of representatives,electmattstoll,
Eric Swalwell,California 14,Democratic,yes,House of representatives,RepSwalwell ; ericswalwell,
James Peters,California 14,Democratic,no,House of representatives,Peters2022ffof,
Alison Hayden,California 14,Republican,no,House of representatives,Alison4Congress,
Emily Beach,California 15,Democratic,no,House of representatives,EmilyBeach650,
David Canepa,California 15,Democratic,no,House of representatives,davidcanepa,
Kevin Mullin,California 15,Democratic,no,House of representatives,kevinmullin,
Andrew Watters,California 15,Democratic,no,House of representatives,WattersCongress,
Jackie Cota,California 15,Republican,no,House of representatives,NA,
Gus Mattammal,California 15,Republican,no,House of representatives,TheOneTrueGus,
Anna Eshoo,California 16,Democratic,yes,House of representatives,RepAnnaEshoo ; Eshoo4Congress,
Rishi Kumar,California 16,Democratic,no,House of representatives,rishikumar1,
Ajwang Rading,California 16,Democratic,no,House of representatives,AjwangRading,
Greg Tanaka,California 16,Democratic,no,House of representatives,GregTanaka,
Peter Ohtaki ,California 16,Republican,no,House of representatives,pohtaki,
Sarah Katz,California 17,Democratic,no,House of representatives,NA,
Ro Khanna,California 17,Democratic,yes,House of representatives,RoKhanna ; RepRoKhanna,
Ritesh Tandon,California 17,Republican,no,House of representatives,tandon4congress,
Zoe Lofgren,California 18,Democratic,yes,House of representatives,ZoeLofgren ; RepZoeLofgren,
Jeff Gorman,California 18,Republican,no,House of representatives,JeffGormanMRY,
Peter Hernandez,California 18,Republican,no,House of representatives,NA,
Benjamin Solomon,California 18,Republican,no,House of representatives,NA,
Jimmy Panetta,California 19,Democratic,yes,House of representatives,JimmyPanetta ; RepJimmyPanetta,
Dalila Epperson,California 19,Republican,no,House of representatives,DalilaEpperson,
Ben Dewell ,California 20,Democratic,no,House of representatives,benldewell,
Marisa Wood,California 20,Democratic,no,House of representatives,MarisaWoodCA,
Kevin McCarthy,California 20,Republican,yes,House of representatives,GOPLeader ; kevinomccarthy,
Jim Costa,California 21,Democratic,yes,House of representatives,RepJimCosta,
Nathan Brown,California 21,Republican,no,House of representatives,NA,
Rudy Salas,California 22,Democratic,no,House of representatives,RudySalasCA ; rudysalasjr,
Martha Flores-Gibso,California 22,Republican,no,House of representatives,Vote4Martha,
Chris Mathys,California 22,Republican,no,House of representatives,ChrisMathysCA21,
Adam Medeiros,California 22,Republican,no,House of representatives,NA,
David Valadao,California 22,Republican,yes,House of representatives,RepDavidValadao ; dgvaladao,
Michael Maher,California 22,Republican,no,House of representatives,Maher4Congress,
Blanca Gomez,California 23,Democratic,no,House of representatives,gomblan1,
Derek Marshall,California 23,Democratic,no,House of representatives,DerekMarshallCA,
Jay Obernolte ,California 23,Republican,yes,House of representatives,TeamObernolte ; JayObernolte,
Salud Carbajal,California 24,Democratic,yes,House of representatives,carbajalsalud ; RepCarbajal,
Gurpinder Singh Sagoo,California 24,Republican,no,House of representatives,gurpinder_sagoo,
Raul Ruiz,California 25,Democratic,yes,House of representatives,Dr_RaulRuiz ; RepRaulRuizMD,
Brian Hawkins,California 25,Republican,no,House of representatives,realpastorbrian,
James Gibson,California 25,Republican,no,House of representatives,VoteJamesGibson,
Storm Jenkins,California 25,Republican,no,House of representatives,NA,
Jonathan Reiss,California 25,Republican,no,House of representatives,Jonathan__Reiss,
Julia Brownley,California 26,Democratic,yes,House of representatives,JuliaBrownley ; RepBrownley,
Matt Jacobs ,California 26,Republican,no,House of representatives,MattJacobsCA,
Chris Bellingham,California 27,Democratic,no,House of representatives,CMB_Outside,
Ruth Luevanos,California 27,Democratic,no,House of representatives,RuthSimiValley ; RuthLuevanos,
Rhoda Nazanin,California 27,Democratic,no,House of representatives,Rhoda4Congress,
Quaye Quartey,California 27,Democratic,no,House of representatives,QuayeQuartey,
Christy Smith,California 27,Democratic,no,House of representatives,ChristySmithCA,
Dara Stransky,California 27,Democratic,no,House of representatives,darafaye,
Mike Garcia,California 27,Republican,yes,House of representatives,ElectMikeGarcia ; RepMikeGarcia,
Judy Chu,California 28,Democratic,yes,House of representatives,Judy Chu ; JudyChuCampaign,
Crystal Prebola,California 28,Republican,no,House of representatives,NA,
Daniel Bocic Martinez,California 28,Republican,no,House of representatives,NA,
Johnny Nalbandian,California 28,Republican,no,House of representatives,Johnny_Congress,
Angelica Dueñas,California 29,Democratic,no,House of representatives,Angelica4CA,
Tony Cárdenas,California 29,Democratic,yes,House of representatives,RepCardenas ; Tcardenas,
Margarita Maria Carranza,California 29,Republican,no,House of representatives,Margiecarranza2,
Rudy Melendez,California 29,Republican,no,House of representatives,melendez_for_ca,
Jonathan Braun,California 30,Democratic,no,House of representatives,NA,
Maebe A. Girl,California 30,Democratic,no,House of representatives,Maebe_A_Girl,
Adam Schiff,California 30,Democratic,yes,House of representatives,RepAdamSchiff ; AdamSchiff,
Ronda Baldwin-Kennedy,California 30,Republican,no,House of representatives,Ronda4Congress,
Mumin Khan,California 31,Democratic,no,House of representatives,NA,
Rocco De Luca,California 31,Democratic,no,House of representatives,NA,
Grace Napolitano,California 31,Democratic,no,House of representatives,grace4congress ; gracenapolitano,
Daniel Bocic Martinez,California 31,Republican,no,House of representatives,NA,
Shervin Aazami,California 32,Democratic,no,House of representatives,AazamiShervin,
Jason Potell,California 32,Democratic,no,House of representatives,JasonPotell,
Raji Rab,California 32,Democratic,no,House of representatives,RajiRab2020,
Aarika Rhodes,California 32,Democratic,no,House of representatives,AarikaRhodes,
Brad Sherman,California 32,Democratic,yes,House of representatives,BradSherman ; BradSherman4SFV,
Susan Murphy,California 32,Republican,no,House of representatives,NA,
Lucie Volotzky,California 32,Republican,no,House of representatives,LVolotzky,
Pete Aguilar,California 33,Democratic,yes,House of representatives,PeteAguilar ; RepPeteAguilar,
Carolyn Covell,California 33,Democratic,yes,House of representatives,Covell4Congress,
Rex Gutierrez,California 33,Republican,no,House of representatives,rexforcongress,
David Kim,California 34,Democratic,no,House of representatives,DavidKimForCA,
Jimmy Gomez,California 34,Democratic,yes,House of representatives,RepJimmyGomez ; JimmyGomezCA,
Clifton Rio Torrado VonBuck,California 34,Republican,no,House of representatives,NA,
Norma Torres,California 35,Democratic,yes,House of representatives,NormaJTorres ; Norma4Congress,
Mike Cargile,California 35,Republican,no,House of representatives,CargileForCA35,
Michael Battersby,California 36,Democratic,no,House of representatives,NA,
Ted Lieu,California 36,Democratic,yes,House of representatives,tedlieu ; RepTedLieu,
Andrew Upchurch,California 36,Democratic,no,House of representatives,NA,
Derrick Gates,California 36,Republican,no,House of representatives,Derrick_R_Gates,
Patrick Jean Raphael,California 36,Republican,no,House of representatives,NA,
Paloma Zuniga,California 36,Republican,no,House of representatives,NA,
Claire Ragge,California 36,Republican,no,House of representatives,Claire_Ragge,
Sydney Kamlager,California 37,Democratic,no,House of representatives,sydneykamlager,
Daniel Lee,California 37,Democratic,no,House of representatives,danielwaynelee0,
Jan Perry ,California 37,Democratic,no,House of representatives,JanPerry,
Michael Shure,California 37,Democratic,no,House of representatives,michaelshure,
Baltazar Fedalizo,California 37,Republican,no,House of representatives,baltazarfedaliz,
Linda Sánchez ,California 38,Democratic,yes,House of representatives,LindaTSanchez ; RepLindaSanchez,
Eric Ching,California 38,Republican,no,House of representatives,EricChi95677803,
John Sarega,California 38,Republican,no,House of representatives,NA,
Mark Takano,California 39,Democratic,yes,House of representatives,RepMarkTakano ; MarkTakano,
Arthur Peterson,California 39,Republican,no,House of representatives,NA,
Asif Mahmood,California 40,Democratic,no,House of representatives,DrMahmood40,
Young Kim ,California 40,Republican,yes,House of representatives,YoungKimCA ; RepYoungKim,
Greg Raths,California 40,Republican,no,House of representatives,NA,
Nick Taurus,California 40,Republican,no,House of representatives,NickTaurus40,
Will Rollins,California 41,Democratic,no,House of representatives,WillRollinsCA,
Shrina Kurani,California 41,Democratic,no,House of representatives,shrinakurani,
Ken Calvert,California 41,Republican,yes,House of representatives,KenCalvert ; TeamCalvert,
John Michael Lucio,California 41,Republican,no,House of representatives,NA,
Cristina Garcia,California 42,Democratic,no,House of representatives,CGarcia_CA,
Robert Garcia,California 42,Democratic,no,House of representatives,RobertGarcia ; LongBeachMayor,
Nicole López,California 42,Democratic,no,House of representatives,lopez4congress,
Peter Mathews ,California 42,Democratic,no,House of representatives,Epetermathews,
William Summerville,California 42,Democratic,no,House of representatives,Wmsforthepeople,
John Briscoe,California 42,Republican,no,House of representatives,johnfbriscoe,
Michelle Lyons,California 42,Republican,no,House of representatives,NA,
Maxine Waters ,California 43,Democratic,yes,House of representatives,RepMaxineWaters ; MaxineWaters,
Joe Collins III,California 43,Republican,no,House of representatives,joeecollins3,
Nanette Barragán,California 44,Democratic,yes,House of representatives,RepBarragan ; Nanette4CA,
Paul Jones,California 44,Republican,no,House of representatives,NA,
Jay Chen,California 45,Democratic,no,House of representatives,jfchen,
Michelle Steel,California 45,Republican,yes,House of representatives,MichelleSteelCA ; RepSteel,
Long K. Pham,California 45,Republican,no,House of representatives,NA,
Lou Correa,California 46,Democratic,yes,House of representatives,voteloucorrea ; RepLouCorrea,
Michael Ortega,California 46,Democratic,no,House of representatives,ortega4congress,
Jesus Ruvalcaba,California 46,Democratic,no,House of representatives,NA,
Cecilia Truman,California 46,Republican,no,House of representatives,NA,
Christopher Gonzalez,California 46,Republican,no,House of representatives,gonzalesforCA46,
Katie Porter,California 47,Democratic,yes,House of representatives,RepKatiePorter ; katieporteroc,
Scott Baugh,California 47,Republican,no,House of representatives,ScottBaughCA47,
Brian Burley,California 47,Republican,no,House of representatives,Burley4Congress,
Shawn Collins,California 47,Republican,no,House of representatives,shawncollins4ca,
Terry Dale,California 47,Republican,no,House of representatives,NA,
Amy Phan West,California 47,Republican,no,House of representatives,amyphanwest,
Errol Webber,California 47,Republican,no,House of representatives,ErrolWebber,
Stephen Houlahan,California 48,Democratic,no,House of representatives,electhoulahan,
Matthew G. Rascon,California 48,Democratic,no,House of representatives,MatthewRascon1,
Sam Abed,California 48,Republican,no,House of representatives,MayorSamAbed,
Darrell Issa,California 48,Republican,yes,House of representatives,DarrellIssa ; repdarrellissa,
Mike Levin,California 49,Democratic,yes,House of representatives,MikeLevin ; RepMikeLevin,
Lisa Bartlett,California 49,Republican,no,House of representatives,BartlettForCA,
Anne Elizabeth,California 49,Republican,no,House of representatives,AnneElizabethUS,
Brian Maryott ,California 49,Republican,no,House of representatives,brianlmaryott,
Christopher Rodriguez,California 49,Republican,no,House of representatives,Vote4crod,
Scott Peters,California 50,Democratic,yes,House of representatives,ScottPetersSD ; RepScottPeters ; ScottPetersCA50,
Kylie Taitano,California 50,Democratic,no,House of representatives,KylieTaitano,
Judah Hosanna,California 50,Republican,no,House of representatives,JudahHosanna,
Sara Jacobs,California 51,Democratic,yes,House of representatives,SaraJacobsCA ; RepSaraJacobs,
Bill Wells,California 51,Republican,no,House of representatives,MayorBillWells,
Juan Vargas ,California 52,Democratic,yes,House of representatives,RepJuanVargas,
Joaquín Vázquez,California 52,Democratic,no,House of representatives,Vazquez4CA52,
Tyler Geffeney,California 52,Republican,no,House of representatives,tgeffeney,
Diana DeGette,Colorado 1,Democratic,yes,House of representatives,DeGette5280 ; RepDianaDeGette,
Neal Walia,Colorado 1,Democratic,no,House of representatives,NealforCD1,
Jennifer Qualteri,Colorado 1,Republican,no,House of representatives,JQualteri,
Joe Neguse,Colorado 2,Democratic,yes,House of representatives,JoeNeguse ; RepJoeNeguse,
Marshall Dawson,Colorado 2,Republican,no,House of representatives,NA,
Adam Frisch,Colorado 3,Democratic,no,House of representatives,AdamForColorado,
Sol Sandoval,Colorado 3,Democratic,no,House of representatives,SolforCO,
Alex Walker,Colorado 3,Democratic,no,House of representatives,walkerforco,
Lauren Boebert,Colorado 3,Republican,yes,House of representatives,laurenboebert ; RepBoebert,
Don Coram,Colorado 3,Republican,no,House of representatives,coramforco,
Ike McCorkle,Colorado 4,Democratic,no,House of representatives,Ike4CO ; IkeMcCorkle,
Ken Buck,Colorado 4,Republican,yes,House of representatives,BuckForColorado ; RepKenBuck,
Bob Lewis,Colorado 4,Republican,no,House of representatives,NA,
David Torres,Colorado 5,Democratic,no,House of representatives,Cd5Torres,
Michael Colombe,Colorado 5,Democratic,no,House of representatives,ColoradoCD5,
Andrew Heaton,Colorado 5,Republican,no,House of representatives,Heaton4Colorado,
Rebecca Keltie,Colorado 5,Republican,no,House of representatives,Keltie4Congress,
Doug Lamborn,Colorado 5,Republican,yes,House of representatives,RepDLamborn ; DougLambornCD5,
Dave Williams,Colorado 5,Republican,no,House of representatives,RepDaveWilliams,
Jason Crow,Colorado 6,Democratic,yes,House of representatives,JasonCrowCO ; RepJasonCrow,
Glenn Rickerson III,Colorado 6,Republican,no,House of representatives,NA,
Brittany Pettersen,Colorado 7,Democratic,no,House of representatives,pettersen4co,
Erik Aadland,Colorado 7,Republican,no,House of representatives,AadlandforCO,
Laurel Imer,Colorado 7,Republican,no,House of representatives,ImerForColorado,
Timothy Reichert,Colorado 7,Republican,no,House of representatives,TimReichertCO,
Yadira Caraveo,Colorado 8,Democratic,no,House of representatives,YadiraCaraveo,
Tyler Allcorn,Colorado 8,Republican,no,House of representatives,allcorn4co,
Barbara Kirkmeyer,Colorado 8,Republican,no,House of representatives,bkirkmeyer,
Jan Kulmann,Colorado 8,Republican,no,House of representatives,JanKulmann,
Lori Saine,Colorado 8,Republican,no,House of representatives,lorisaine,
Muad Hrezi,Connecticut 1,Democratic,no,House of representatives,muadhrezi,
John B. Larson,Connecticut 1,Democratic,yes,House of representatives,RepJohnLarson ,
Larry Lazor,Connecticut 1,Republican,no,House of representatives,LarryLazor,
Anthony DiLizia,Connecticut 2,Democratic,no,House of representatives,DiLiziaForCT,
Joe Courtney,Connecticut 2,Democratic,yes,House of representatives,RepJoeCourtney ; JoeCourtneyCT,
Mike France,Connecticut 2,Republican,no,House of representatives,NA,
Rosa DeLauro,Connecticut 3,Democratic,yes,House of representatives,rosadelauro ; Rosa_DeLauro,
Lesley DeNardis,Connecticut 3,Republican,no,House of representatives,NA,
Jim Himes,Connecticut 4,Democratic,yes,House of representatives,jahimes,
Daniel Rex Dineen,Connecticut 4,Democratic,no,House of representatives,DanielRexDineen,
Michael Goldstein,Connecticut 4,Republican,no,House of representatives,DrMGoldstein,
Jahana Hayes,Connecticut 5,Democratic,yes,House of representatives,JahanaHayesCT ; RepJahanaHayes,
Michelle Botelho,Connecticut 5,Republican,no,House of representatives,MBotForCongress,
George Logan,Connecticut 5,Republican,no,House of representatives,GSLoganCT,
Lisa Blunt Rochester,Delaware 1,Democratic,yes,House of representatives,LisaBRochester ; RepLBR,
Lee Murphy,Delaware 1,Republican,no,House of representatives,goMurph2020,
Christopher Hill,Delaware 1,Republican,no,House of representatives,NA,
Rebekah Jones,Florida 1,Democratic,no,House of representatives,NA,
Phil Ehr,Florida 1,Democratic,no,House of representatives,PhilEhr,
Peggy Schiller,Florida 1,Democratic,no,House of representatives,peggyforFL1,
Jeremy Kelly,Florida 1,Republican,no,House of representatives,JKelly4Congress,
Greg Merk,Florida 1,Republican,no,House of representatives,MerkGregory,
Matt Gaetz,Florida 1,Republican,yes,House of representatives,mattgaetz ; RepMattGaetz,
Bryan Jones,Florida 1,Republican,no,House of representatives,BryanJones4FL,
John Mills,Florida 1,Republican,no,House of representatives,NA,
Al Lawson,Florida 2,Democratic,yes,House of representatives,AlLawsonJr ; RepAlLawsonJr,
Karen Stripling,Florida 2,Democratic,no,House of representatives,NA,
Neal Dunn,Florida 2,Republican,yes,House of representatives,DunnCampaign ; DrNealDunnFL2,
Jovante Teague,Florida 2,Republican,no,House of representatives,ViceMayorJo,
Danielle Hawk,Florida 3,Democratic,no,House of representatives,HawkforCongress,
Tom Wells,Florida 3,Democratic,no,House of representatives,TomWells2022,
